Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress ScoreÂ®,Grit,Flow,Bottom Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp
Walking,2019-11-15 12:47:55,false,"Walking","0.94","86","00:17:01","94","105","102","122","18:10","14:00","--","--","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-09-20 18:30:17,false,"Bloomington Running","0.60","77","00:07:28.5","129","145","134","148","12:31","0:27","3","1","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2019-09-20 17:59:23,false,"Bloomington Walking","1.52","193","00:28:27","88","105","102","150","18:42","5:35","22","18","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:14.01","2","0.0"
Running,2019-08-27 16:50:10,false,"Bloomington Running","3.07","398","00:35:38","135","166","142","162","11:36","8:10","59","63","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:01.28","4","0.0"
Running,2019-08-20 17:54:14,false,"Bloomington Running","3.41","455","00:41:39","135","173","140","162","12:13","5:11","45","42","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:17.16","4","0.0"
Running,2019-08-18 12:51:45,false,"Bloomington Running","2.75","363","00:33:20","137","153","140","156","12:07","1:00","57","57","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","09:55.88","3","0.0"
Running,2019-08-15 13:57:50,false,"Bloomington Running","3.03","397","00:36:48","134","148","142","154","12:10","7:02","51","30","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:33.96","4","0.0"
Running,2019-08-10 13:12:57,false,"Bloomington Running","3.57","471","00:47:15","125","152","132","150","13:14","1:52","93","87","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:43.63","4","0.0"
Running,2019-08-08 11:29:59,false,"Bloomington Running","2.62","328","00:31:24","129","149","142","150","11:59","0:25","33","32","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:44.32","3","0.0"
Running,2019-08-01 11:55:22,false,"Urbana Running","3.61","482","00:42:53","138","155","142","154","11:53","7:40","76","92","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:03.13","4","0.0"
Running,2019-07-30 11:47:20,false,"Urbana Running","3.80","517","00:50:04","132","152","136","208","13:11","2:32","67","79","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:30.30","4","0.0"
Running,2019-07-19 12:24:32,false,"Urbana Running","2.69","396","00:36:52","142","163","132","150","13:43","9:36","64","63","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:54.61","3","0.0"
Running,2019-07-18 11:45:35,false,"Urbana Running","2.77","394","00:37:51","135","161","126","150","13:40","1:59","78","75","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:28.37","3","0.0"
Running,2019-07-16 11:29:30,false,"Champaign County Running","2.93","423","00:33:13","147","163","144","160","11:21","6:25","39","39","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:45.72","3","0.0"
Running,2019-07-12 12:02:19,false,"Champaign County Running","2.97","474","00:43:22","141","183","132","204","14:36","2:10","49","67","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:36.17","3","0.0"
Running,2019-07-03 18:14:46,false,"Bloomington Running","0.24","24","00:04:11.6","95","148","104","106","17:12","0:25","--","--","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2019-06-28 11:43:13,false,"Urbana Running","2.71","441","00:35:24","148","168","132","212","13:05","0:25","66","75","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:28.19","3","0.0"
Walking,2019-06-26 20:00:53,false,"Bloomington Walking","1.61","193","00:31:52","77","106","100","122","19:48","11:31","36","37","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:42.99","2","0.0"
Walking,2019-06-25 19:54:53,false,"Bloomington Walking","1.09","147","00:25:47","86","114","100","124","23:34","3:11","20","21","0.69","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:21.38","2","0.0"
Running,2019-06-25 11:42:40,false,"Urbana Running","1.96","269","00:24:41","132","150","134","150","12:36","0:25","40","43","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:06.12","2","0.0"
Running,2019-06-24 17:38:12,false,"Bloomington Running","2.39","329","00:32:50","117","152","126","212","13:44","9:13","45","48","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:51.46","3","0.0"
Running,2019-06-17 17:03:25,false,"Bloomington Running","2.41","338","00:53:15","95","149","126","210","22:07","7:54","39","39","0.58","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:40.43","3","0.0"
Walking,2019-06-15 19:52:25,false,"Bloomington Walking","1.80","252","00:35:44","94","149","100","122","19:49","1:15","42","44","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:48.91","2","0.0"
Walking,2019-06-13 19:21:18,false,"Bloomington Walking","2.27","307","00:51:31","90","112","100","154","22:42","3:31","36","36","0.70","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:30.01","3","0.0"
Running,2019-06-13 12:21:44,false,"Bloomington Running","1.61","260","00:21:07","143","203","130","208","13:08","6:00","27","26","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:55.14","2","0.0"
Running,2019-06-09 11:45:33,false,"Bloomington Running","2.16","283","00:32:22","109","151","118","150","15:00","3:03","37","34","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:23.05","3","0.0"
Running,2019-06-06 11:43:19,false,"Champaign Running","2.22","295","00:31:12","119","159","120","218","14:03","3:37","58","59","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:42.65","3","0.0"
Running,2019-06-01 08:48:51,false,"Bloomington Running","2.08","269","00:31:42","102","140","116","150","15:16","9:41","47","50","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:23.69","3","0.0"
Walking,2019-05-28 20:05:15,false,"Bloomington Walking","1.45","180","00:29:40","88","108","100","122","20:30","1:21","33","34","0.78","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","10:32.99","2","0.0"
Running,2019-05-27 10:53:56,false,"Bloomington Running","2.12","263","00:33:24","102","138","114","152","15:44","0:25","50","50","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:45.90","3","0.0"
Running,2019-05-25 16:10:08,false,"Bloomington Running","2.22","336","00:40:47","121","158","112","162","18:25","0:42","33","31","0.78","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:21.15","3","0.0"
Walking,2019-05-21 19:29:07,false,"Bloomington Walking","1.60","196","00:31:56","83","111","100","168","20:00","5:01","42","42","0.80","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","12:09.51","2","0.0"
Walking,2019-05-16 17:41:04,false,"Bloomington Walking","3.47","449","01:04:18","107","127","102","146","18:33","2:21","65","72","0.85","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:12.60","4","0.0"
Walking,2019-04-28 18:01:37,false,"Bloomington Walking","1.00","145","00:26:04","91","137","100","122","25:59","2:35","11","10","0.62","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:07.47","2","0.0"
Treadmill Running,2019-04-25 23:53:24,false,"Treadmill Running","1.70","166","00:34:19","93","127","100","122","20:08","13:17","--","--","0.81","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","15:03.69","2","0.0"
Running,2019-04-22 18:25:47,false,"Bloomington Running","1.88","240","00:28:48","103","138","118","152","15:19","9:23","50","50","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","14:12.22","2","0.0"
Walking,2019-04-08 18:26:54,false,"Bloomington Walking","2.32","295","00:44:13","82","111","102","122","19:01","9:16","48","32","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","07:34.35","3","0.0"
Walking,2019-04-06 16:29:26,false,"Bloomington Walking","2.35","312","00:43:51","90","112","104","162","18:39","5:20","52","39","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","08:37.68","3","0.0"
Running,2019-01-15 23:11:09,false,"Running","2.56","331","00:28:25","136","169","144","160","11:06","5:06","--","--","1.02","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:40.52","3","0.0"
Running,2019-01-08 23:09:43,false,"Running","2.24","261","00:28:24","123","156","136","158","12:41","6:17","--","--","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:58.83","3","0.0"
Running,2019-01-05 14:23:40,false,"Bloomington Running","2.11","284","00:30:05","119","163","130","152","14:17","8:22","51","51","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:08.09","3","0.0"
Treadmill Running,2019-01-03 00:27:36,false,"Treadmill Running","1.77","248","00:24:30","130","151","136","152","13:50","7:56","--","--","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","11:43.52","2","0.0"
Running,2018-12-27 11:05:39,false,"Bloomington Running","2.97","417","00:37:10","137","169","138","182","12:32","0:27","55","54","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Treadmill Running,2018-11-13 00:33:02,false,"Treadmill Running","2.00","277","00:35:03","117","146","128","146","17:30","9:45","--","--","0.72","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Walking,2018-10-22 17:10:34,false,"Bloomington Walking","1.85","228","00:33:33","77","110","104","126","18:08","2:47","44","41","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-10-18 17:56:42,false,"Bloomington Running","1.76","255","00:20:57","143","182","146","152","11:53","0:30","47","44","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Walking,2018-10-02 18:13:01,false,"Bloomington Walking","1.80","247","00:43:28","84","117","104","152","24:09","3:50","40","35","0.64","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-09-22 15:04:13,false,"Bloomington Running","2.75","371","00:32:47","134","173","144","150","11:55","0:25","52","52","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-09-18 12:23:37,false,"Normal Running","2.16","271","00:24:28","132","153","144","244","11:20","4:22","--","40","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-09-15 17:05:01,false,"Bloomington Running","3.18","468","00:41:58","140","159","142","156","13:12","6:24","47","28","0.86","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Running,2018-09-10 18:08:22,false,"Bloomington Running","2.83","364","00:33:02","130","148","144","148","11:39","7:48","39","52","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-09-05 16:39:20,false,"Normal Running","2.71","358","00:30:43","136","156","142","148","11:20","1:18","68","47","1.00","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-08-31 18:12:12,false,"Bloomington Running","2.45","278","00:26:35","128","147","144","152","10:51","1:53","36","24","1.03","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-08-27 18:04:30,false,"Bloomington Running","2.23","257","00:25:18","127","148","144","148","11:22","0:25","27","20","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-08-13 18:30:07,false,"Normal Running","3.19","380","00:34:15","135","150","142","246","10:45","0:25","50","78","1.05","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Walking,2018-08-09 14:47:29,false,"Routt County Walking","5.01","1,097","03:12:17","111","155","108","240","38:22","4:03","1,353","1,879","0.39","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","6","0.0"
Running,2018-07-24 17:43:54,false,"Normal Running","3.59","482","00:42:11","139","161","142","150","11:45","1:08","44","80","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Walking,2018-07-10 19:32:28,false,"Normal Walking","1.52","193","00:30:20","78","99","98","122","19:56","3:42","35","38","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-07-08 13:28:37,false,"Normal Running","3.61","528","00:42:47","147","164","142","152","11:51","4:07","45","80","0.96","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Running,2018-07-05 17:54:19,false,"Normal Running","2.54","314","00:29:52","129","155","144","148","11:46","10:06","54","73","0.95","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-07-03 18:25:53,false,"Normal Running","4.55","605","00:54:26","140","170","142","212","11:58","4:53","84","117","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
Running,2018-06-28 17:43:45,false,"Normal Running","4.51","607","00:51:53","143","158","144","154","11:30","8:48","90","122","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
Walking,2018-06-26 17:57:23,false,"Normal Walking","2.07","268","00:36:16","77","104","104","122","17:33","3:58","41","45","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-06-23 17:30:41,false,"Normal Running","3.73","508","00:49:58","135","159","144","160","13:25","2:28","91","111","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Running,2018-06-20 14:30:10,false,"Normal Running","4.02","578","00:47:43","148","177","140","214","11:53","0:25","77","55","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
Running,2018-06-16 18:08:56,false,"Normal Running","4.52","655","00:55:24","150","178","140","152","12:16","8:32","114","115","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
Running,2018-06-13 14:16:20,false,"Normal Running","4.00","566","00:51:49","141","162","138","152","12:57","8:26","95","97","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","5","0.0"
Running,2018-06-11 18:36:05,false,"Normal Running","3.57","465","00:39:26","145","163","144","154","11:03","5:57","63","63","1.01","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Cardio,2018-06-06 23:40:35,false,"Cardio","0.98","264","00:32:48","120","168","132","244","1.8","15.0","--","--","0.36","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-06-05 18:09:22,false,"Normal Running","2.78","390","00:34:43","141","158","138","148","12:29","10:00","66","93","0.93","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-06-02 16:26:43,false,"Normal Running","2.97","409","00:39:36","129","154","132","152","13:20","4:38","59","59","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-29 18:07:22,false,"McLean County Running","2.58","327","00:33:10","120","154","136","150","12:50","3:48","68","67","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-26 14:02:18,false,"Normal Running","3.04","446","00:42:00","144","172","126","152","13:49","7:19","80","78","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","4","0.0"
Running,2018-05-22 18:12:08,false,"Normal Running","2.20","318","00:32:19","128","158","130","148","14:40","10:00","45","51","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-21 17:53:49,false,"Normal Running","2.33","335","00:35:02","128","162","128","146","15:04","7:58","53","53","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-19 15:05:20,false,"Normal Running","1.16","204","00:17:44","143","165","126","148","15:19","6:16","30","31","0.83","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-05-19 14:35:07,false,"Normal Running","2.13","340","00:28:22","138","162","134","150","13:20","10:00","40","39","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-14 17:50:31,false,"Normal Running","1.98","277","00:27:00","122","155","130","150","13:40","6:52","42","41","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-05-08 17:52:27,false,"Normal Running","2.01","275","00:27:23","118","155","128","150","13:38","9:44","39","45","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-05-01 18:20:41,false,"Normal Running","1.69","222","00:22:02","116","152","126","150","13:02","1:13","38","39","0.99","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-04-30 17:42:10,false,"Normal Running","2.07","278","00:29:48","113","153","124","150","14:24","9:23","40","43","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-04-19 17:29:30,false,"Normal Running","1.93","270","00:30:29","116","152","120","150","15:46","7:55","45","45","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Running,2018-04-17 17:49:10,false,"Normal Running","2.18","293","00:31:55","119","163","122","154","14:38","7:01","50","51","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Treadmill Running,2018-04-16 22:42:00,false,"Treadmill Running","1.74","216","00:25:02","111","140","130","150","14:23","7:02","--","--","1.21","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Running,2018-04-12 12:27:51,false,"Normal Running","2.24","301","00:33:44","111","148","116","150","15:06","3:07","59","58","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Walking,2018-04-08 17:52:44,false,"Normal Walking","1.30","185","00:23:40","107","140","108","126","18:10","2:54","33","33","0.82","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Treadmill Running,2018-04-06 22:54:00,false,"Treadmill Running","1.67","285","00:25:01","129","157","130","148","14:59","7:14","--","--","1.15","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Walking,2018-04-01 18:28:10,false,"Normal Walking","1.66","241","00:40:04","92","119","108","232","24:11","1:27","31","32","0.62","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Treadmill Running,2018-03-26 23:09:00,false,"Treadmill Running","1.56","296","00:22:33","145","182","136","148","14:28","7:09","--","--","1.23","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","3","0.0"
Street Running,2018-03-22 14:53:28,false,"Normal Running","1.53","208","00:19:51","117","149","128","152","12:56","7:49","36","32","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","2","0.0"
Walking,2018-03-18 18:36:45,false,"Normal Walking","0.46","71","00:09:31.8","107","142","110","122","20:45","5:49","--","25","0.71","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Running,2018-03-18 18:26:06,false,"Normal Running","0.91","128","00:10:10","134","153","146","152","11:14","7:35","17","20","0.98","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
Walking,2018-03-18 18:11:48,false,"Normal Walking","0.75","100","00:13:52","82","96","104","122","18:24","15:08","22","10","0.84","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:00.00","1","0.0"
